date,time,pid,log_level,component,event_type,block_id,source_ip,destination_ip,block_size,raw_message,datetime
2008-11-09,20:35:18,143,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.250.19.102,10.250.19.102,0.0,Receiving block blk_-1608999687919862906 src: /10.250.19.102:54106 dest: /10.250.19.102:50010,2008-11-09 20:35:18
2008-11-09,20:35:18,35,INFO,dfs.FSNamesystem,ALLOCATE_BLOCK,blk_-1608999687919862906,UNKNOWN,UNKNOWN,0.0,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.jar. blk_-1608999687919862906,2008-11-09 20:35:18
2008-11-09,20:35:19,143,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.250.10.6,10.250.10.6,0.0,Receiving block blk_-1608999687919862906 src: /10.250.10.6:40524 dest: /10.250.10.6:50010,2008-11-09 20:35:19
2008-11-09,20:35:19,145,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.250.14.224,10.250.14.224,0.0,Receiving block blk_-1608999687919862906 src: /10.250.14.224:42420 dest: /10.250.14.224:50010,2008-11-09 20:35:19
2008-11-09,20:35:19,145,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-1608999687919862906,UNKNOWN,UNKNOWN,0.0,PacketResponder 1 for block blk_-1608999687919862906 terminating,2008-11-09 20:35:19
2008-11-09,20:35:19,145,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-1608999687919862906,UNKNOWN,UNKNOWN,0.0,PacketResponder 2 for block blk_-1608999687919862906 terminating,2008-11-09 20:35:19
2008-11-09,20:35:19,145,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-1608999687919862906,10.250.10.6,UNKNOWN,91178.0,Received block blk_-1608999687919862906 of size 91178 from /10.250.10.6,2008-11-09 20:35:19
2008-11-09,20:35:19,145,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-1608999687919862906,10.250.19.102,UNKNOWN,91178.0,Received block blk_-1608999687919862906 of size 91178 from /10.250.19.102,2008-11-09 20:35:19
2008-11-09,20:35:19,147,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-1608999687919862906,UNKNOWN,UNKNOWN,0.0,PacketResponder 0 for block blk_-1608999687919862906 terminating,2008-11-09 20:35:19
2008-11-09,20:35:19,147,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-1608999687919862906,10.250.14.224,UNKNOWN,91178.0,Received block blk_-1608999687919862906 of size 91178 from /10.250.14.224,2008-11-09 20:35:19
2008-11-09,20:35:19,29,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-1608999687919862906,10.250.10.6,UNKNOWN,91178.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.10.6:50010 is added to blk_-1608999687919862906 size 91178,2008-11-09 20:35:19
2008-11-09,20:35:19,30,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-1608999687919862906,10.251.111.209,UNKNOWN,91178.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.111.209:50010 is added to blk_-1608999687919862906 size 91178,2008-11-09 20:35:19
2008-11-09,20:35:19,31,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-1608999687919862906,10.250.14.224,UNKNOWN,91178.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.224:50010 is added to blk_-1608999687919862906 size 91178,2008-11-09 20:35:19
2008-11-09,20:35:20,142,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_7503483334202473044,10.251.215.16,10.251.215.16,0.0,Receiving block blk_7503483334202473044 src: /10.251.215.16:55695 dest: /10.251.215.16:50010,2008-11-09 20:35:20
2008-11-09,20:35:20,145,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_7503483334202473044,10.250.19.102,10.250.19.102,0.0,Receiving block blk_7503483334202473044 src: /10.250.19.102:34232 dest: /10.250.19.102:50010,2008-11-09 20:35:20
2008-11-09,20:35:20,26,INFO,dfs.FSNamesystem,ALLOCATE_BLOCK,blk_7503483334202473044,UNKNOWN,UNKNOWN,0.0,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.split. blk_7503483334202473044,2008-11-09 20:35:20
2008-11-09,20:35:21,143,INFO,dfs.DataNode$DataXceiver,RECEIVED_BLOCK,blk_-1608999687919862906,10.251.215.16,10.251.215.16,91178.0,Received block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010 of size 91178,2008-11-09 20:35:21
2008-11-09,20:35:21,143,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.251.215.16,10.251.215.16,0.0,Receiving block blk_-1608999687919862906 src: /10.251.215.16:52002 dest: /10.251.215.16:50010,2008-11-09 20:35:21
2008-11-09,20:35:21,144,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_7503483334202473044,10.251.71.16,10.251.71.16,0.0,Receiving block blk_7503483334202473044 src: /10.251.71.16:51590 dest: /10.251.71.16:50010,2008-11-09 20:35:21
2008-11-09,20:35:21,145,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-3544583377289625738,10.250.19.102,10.250.19.102,0.0,Receiving block blk_-3544583377289625738 src: /10.250.19.102:39325 dest: /10.250.19.102:50010,2008-11-09 20:35:21
2008-11-09,20:35:21,145,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_7503483334202473044,UNKNOWN,UNKNOWN,0.0,PacketResponder 1 for block blk_7503483334202473044 terminating,2008-11-09 20:35:21
2008-11-09,20:35:21,145,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_7503483334202473044,10.251.215.16,UNKNOWN,233217.0,Received block blk_7503483334202473044 of size 233217 from /10.251.215.16,2008-11-09 20:35:21
2008-11-09,20:35:21,146,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_7503483334202473044,UNKNOWN,UNKNOWN,0.0,PacketResponder 0 for block blk_7503483334202473044 terminating,2008-11-09 20:35:21
2008-11-09,20:35:21,146,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_7503483334202473044,10.251.71.16,UNKNOWN,233217.0,Received block blk_7503483334202473044 of size 233217 from /10.251.71.16,2008-11-09 20:35:21
2008-11-09,20:35:21,147,INFO,dfs.DataNode$DataTransfer,TRANSMIT_BLOCK,blk_-1608999687919862906,10.250.14.224,10.251.215.16,0.0,10.250.14.224:50010:Transmitted block blk_-1608999687919862906 to /10.251.215.16:50010,2008-11-09 20:35:21
2008-11-09,20:35:21,147,INFO,dfs.DataNode$DataXceiver,RECEIVED_BLOCK,blk_-1608999687919862906,10.250.14.224,10.250.14.224,91178.0,Received block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010 of size 91178,2008-11-09 20:35:21
2008-11-09,20:35:21,147,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.250.14.224,10.250.14.224,0.0,Receiving block blk_-1608999687919862906 src: /10.250.14.224:35754 dest: /10.250.14.224:50010,2008-11-09 20:35:21
2008-11-09,20:35:21,148,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_7503483334202473044,UNKNOWN,UNKNOWN,0.0,PacketResponder 2 for block blk_7503483334202473044 terminating,2008-11-09 20:35:21
2008-11-09,20:35:21,148,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_7503483334202473044,10.250.19.102,UNKNOWN,233217.0,Received block blk_7503483334202473044 of size 233217 from /10.250.19.102,2008-11-09 20:35:21
2008-11-09,20:35:21,19,INFO,dfs.DataNode,START_TRANSFER,blk_-1608999687919862906,10.250.14.224,10.251.215.16,0.0,"10.250.14.224:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.215.16:50010, 10.251.71.193:50010",2008-11-09 20:35:21
2008-11-09,20:35:21,19,INFO,dfs.FSNamesystem,REPLICATE_BLOCK,blk_-1608999687919862906,10.250.14.224,10.251.215.16,0.0,BLOCK* ask 10.250.14.224:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.215.16:50010 10.251.71.193:50010,2008-11-09 20:35:21
2008-11-09,20:35:21,27,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_7503483334202473044,10.251.106.10,UNKNOWN,233217.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.106.10:50010 is added to blk_7503483334202473044 size 233217,2008-11-09 20:35:21
2008-11-09,20:35:21,29,INFO,dfs.FSNamesystem,ALLOCATE_BLOCK,blk_-3544583377289625738,UNKNOWN,UNKNOWN,0.0,BLOCK* NameSystem.allocateBlock: /mnt/hadoop/mapred/system/job_200811092030_0001/job.xml. blk_-3544583377289625738,2008-11-09 20:35:21
2008-11-09,20:35:21,30,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-1608999687919862906,10.251.71.193,UNKNOWN,91178.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.193:50010 is added to blk_-1608999687919862906 size 91178,2008-11-09 20:35:21
2008-11-09,20:35:21,33,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_7503483334202473044,10.251.215.16,UNKNOWN,233217.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to blk_7503483334202473044 size 233217,2008-11-09 20:35:21
2008-11-09,20:35:21,34,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-1608999687919862906,10.251.215.16,UNKNOWN,91178.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.215.16:50010 is added to blk_-1608999687919862906 size 91178,2008-11-09 20:35:21
2008-11-09,20:35:21,35,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_7503483334202473044,10.251.71.16,UNKNOWN,233217.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.71.16:50010 is added to blk_7503483334202473044 size 233217,2008-11-09 20:35:21
2008-11-09,20:35:22,144,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-3544583377289625738,10.251.197.226,10.251.197.226,0.0,Receiving block blk_-3544583377289625738 src: /10.251.197.226:60229 dest: /10.251.197.226:50010,2008-11-09 20:35:22
2008-11-09,20:35:22,145,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-3544583377289625738,10.250.11.100,10.250.11.100,0.0,Receiving block blk_-3544583377289625738 src: /10.250.11.100:54800 dest: /10.250.11.100:50010,2008-11-09 20:35:22
2008-11-09,20:35:22,147,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-3544583377289625738,UNKNOWN,UNKNOWN,0.0,PacketResponder 2 for block blk_-3544583377289625738 terminating,2008-11-09 20:35:22
2008-11-09,20:35:22,147,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-3544583377289625738,10.250.19.102,UNKNOWN,11971.0,Received block blk_-3544583377289625738 of size 11971 from /10.250.19.102,2008-11-09 20:35:22
2008-11-09,20:35:23,143,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-9073992586687739851,10.250.19.102,10.250.19.102,0.0,Receiving block blk_-9073992586687739851 src: /10.250.19.102:37673 dest: /10.250.19.102:50010,2008-11-09 20:35:23
2008-11-09,20:35:23,146,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-3544583377289625738,UNKNOWN,UNKNOWN,0.0,PacketResponder 1 for block blk_-3544583377289625738 terminating,2008-11-09 20:35:23
2008-11-09,20:35:23,146,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-3544583377289625738,10.251.197.226,UNKNOWN,11971.0,Received block blk_-3544583377289625738 of size 11971 from /10.251.197.226,2008-11-09 20:35:23
2008-11-09,20:35:23,147,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-3544583377289625738,UNKNOWN,UNKNOWN,0.0,PacketResponder 0 for block blk_-3544583377289625738 terminating,2008-11-09 20:35:23
2008-11-09,20:35:23,147,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-3544583377289625738,10.250.11.100,UNKNOWN,11971.0,Received block blk_-3544583377289625738 of size 11971 from /10.250.11.100,2008-11-09 20:35:23
2008-11-09,20:35:23,148,INFO,dfs.DataNode$DataXceiver,SERVE_BLOCK,blk_-3544583377289625738,10.250.11.100,10.250.19.102,0.0,10.250.11.100:50010 Served block blk_-3544583377289625738 to /10.250.19.102,2008-11-09 20:35:23
2008-11-09,20:35:23,149,INFO,dfs.DataNode$DataXceiver,SERVE_BLOCK,blk_-1608999687919862906,10.251.111.209,10.250.19.102,0.0,10.251.111.209:50010 Served block blk_-1608999687919862906 to /10.250.19.102,2008-11-09 20:35:23
2008-11-09,20:35:23,28,INFO,dfs.FSNamesystem,ALLOCATE_BLOCK,blk_-9073992586687739851,UNKNOWN,UNKNOWN,0.0,BLOCK* NameSystem.allocateBlock: /user/root/rand/_logs/history/ip-10-250-19-102.ec2.internal_1226291400491_job_200811092030_0001_conf.xml. blk_-9073992586687739851,2008-11-09 20:35:23
2008-11-09,20:35:23,29,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-3544583377289625738,10.251.39.179,UNKNOWN,11971.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.39.179:50010 is added to blk_-3544583377289625738 size 11971,2008-11-09 20:35:23
2008-11-09,20:35:23,33,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-3544583377289625738,10.250.11.100,UNKNOWN,11971.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.11.100:50010 is added to blk_-3544583377289625738 size 11971,2008-11-09 20:35:23
2008-11-09,20:35:23,33,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-3544583377289625738,10.251.197.226,UNKNOWN,11971.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.197.226:50010 is added to blk_-3544583377289625738 size 11971,2008-11-09 20:35:23
2008-11-09,20:35:24,143,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-9073992586687739851,10.250.14.196,10.250.14.196,0.0,Receiving block blk_-9073992586687739851 src: /10.250.14.196:39576 dest: /10.250.14.196:50010,2008-11-09 20:35:24
2008-11-09,20:35:24,144,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-9073992586687739851,10.250.7.244,10.250.7.244,0.0,Receiving block blk_-9073992586687739851 src: /10.250.7.244:39735 dest: /10.250.7.244:50010,2008-11-09 20:35:24
2008-11-09,20:35:24,145,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-9073992586687739851,UNKNOWN,UNKNOWN,0.0,PacketResponder 2 for block blk_-9073992586687739851 terminating,2008-11-09 20:35:24
2008-11-09,20:35:24,145,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-9073992586687739851,10.250.19.102,UNKNOWN,11977.0,Received block blk_-9073992586687739851 of size 11977 from /10.250.19.102,2008-11-09 20:35:24
2008-11-09,20:35:24,146,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-9073992586687739851,UNKNOWN,UNKNOWN,0.0,PacketResponder 0 for block blk_-9073992586687739851 terminating,2008-11-09 20:35:24
2008-11-09,20:35:24,146,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-9073992586687739851,10.250.14.196,UNKNOWN,11977.0,Received block blk_-9073992586687739851 of size 11977 from /10.250.14.196,2008-11-09 20:35:24
2008-11-09,20:35:24,147,INFO,dfs.DataNode$PacketResponder,PACKET_TERMINATED,blk_-9073992586687739851,UNKNOWN,UNKNOWN,0.0,PacketResponder 1 for block blk_-9073992586687739851 terminating,2008-11-09 20:35:24
2008-11-09,20:35:24,147,INFO,dfs.DataNode$PacketResponder,RECEIVED_BLOCK,blk_-9073992586687739851,10.250.7.244,UNKNOWN,11977.0,Received block blk_-9073992586687739851 of size 11977 from /10.250.7.244,2008-11-09 20:35:24
2008-11-09,20:35:24,19,INFO,dfs.FSNamesystem,REPLICATE_BLOCK,blk_-1608999687919862906,10.251.215.16,10.251.74.79,0.0,BLOCK* ask 10.251.215.16:50010 to replicate blk_-1608999687919862906 to datanode(s) 10.251.74.79:50010 10.251.107.19:50010,2008-11-09 20:35:24
2008-11-09,20:35:24,27,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-9073992586687739851,10.251.89.155,UNKNOWN,11977.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.89.155:50010 is added to blk_-9073992586687739851 size 11977,2008-11-09 20:35:24
2008-11-09,20:35:24,34,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-9073992586687739851,10.250.7.244,UNKNOWN,11977.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.7.244:50010 is added to blk_-9073992586687739851 size 11977,2008-11-09 20:35:24
2008-11-09,20:35:24,35,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-9073992586687739851,10.250.14.196,UNKNOWN,11977.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.250.14.196:50010 is added to blk_-9073992586687739851 size 11977,2008-11-09 20:35:24
2008-11-09,20:35:25,150,INFO,dfs.DataNode$DataXceiver,SERVE_BLOCK,blk_7503483334202473044,10.251.215.16,10.250.19.102,0.0,10.251.215.16:50010 Served block blk_7503483334202473044 to /10.250.19.102,2008-11-09 20:35:25
2008-11-09,20:35:26,146,INFO,dfs.DataNode$DataXceiver,RECEIVED_BLOCK,blk_-1608999687919862906,10.251.215.16,10.251.215.16,91178.0,Received block blk_-1608999687919862906 src: /10.251.215.16:51177 dest: /10.251.215.16:50010 of size 91178,2008-11-09 20:35:26
2008-11-09,20:35:26,146,INFO,dfs.DataNode$DataXceiver,RECEIVED_BLOCK,blk_-1608999687919862906,10.251.74.79,10.251.74.79,91178.0,Received block blk_-1608999687919862906 src: /10.251.74.79:60333 dest: /10.251.74.79:50010 of size 91178,2008-11-09 20:35:26
2008-11-09,20:35:26,146,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.251.215.16,10.251.215.16,0.0,Receiving block blk_-1608999687919862906 src: /10.251.215.16:51177 dest: /10.251.215.16:50010,2008-11-09 20:35:26
2008-11-09,20:35:26,146,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.251.74.79,10.251.74.79,0.0,Receiving block blk_-1608999687919862906 src: /10.251.74.79:60333 dest: /10.251.74.79:50010,2008-11-09 20:35:26
2008-11-09,20:35:26,149,INFO,dfs.DataNode$DataXceiver,SERVE_BLOCK,blk_-3544583377289625738,10.251.39.179,10.250.18.114,0.0,10.251.39.179:50010 Served block blk_-3544583377289625738 to /10.250.18.114,2008-11-09 20:35:26
2008-11-09,20:35:26,150,INFO,dfs.DataNode$DataXceiver,SERVE_BLOCK,blk_-3544583377289625738,10.251.197.226,10.251.199.225,0.0,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.199.225,2008-11-09 20:35:26
2008-11-09,20:35:26,151,INFO,dfs.DataNode$DataXceiver,SERVE_BLOCK,blk_-3544583377289625738,10.251.197.226,10.251.30.85,0.0,10.251.197.226:50010 Served block blk_-3544583377289625738 to /10.251.30.85,2008-11-09 20:35:26
2008-11-09,20:35:26,152,INFO,dfs.DataNode$DataTransfer,TRANSMIT_BLOCK,blk_-1608999687919862906,10.251.215.16,10.251.74.79,0.0,10.251.215.16:50010:Transmitted block blk_-1608999687919862906 to /10.251.74.79:50010,2008-11-09 20:35:26
2008-11-09,20:35:26,19,INFO,dfs.DataNode,START_TRANSFER,blk_-1608999687919862906,10.251.215.16,10.251.74.79,0.0,"10.251.215.16:50010 Starting thread to transfer block blk_-1608999687919862906 to 10.251.74.79:50010, 10.251.107.19:50010",2008-11-09 20:35:26
2008-11-09,20:35:26,28,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-1608999687919862906,10.251.74.79,UNKNOWN,91178.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.74.79:50010 is added to blk_-1608999687919862906 size 91178,2008-11-09 20:35:26
2008-11-09,20:35:26,29,INFO,dfs.FSNamesystem,STORE_BLOCK,blk_-1608999687919862906,10.251.107.19,UNKNOWN,91178.0,BLOCK* NameSystem.addStoredBlock: blockMap updated: 10.251.107.19:50010 is added to blk_-1608999687919862906 size 91178,2008-11-09 20:35:26
2008-11-09,20:35:27,145,INFO,dfs.DataNode$DataXceiver,RECEIVE_BLOCK,blk_-1608999687919862906,10.251.31.5,10.251.31.5,0.0,Receiving block blk_-1608999687919862906 src: /10.251.31.5:53020 dest: /10.251.31.5:50010,2008-11-09 20:35:27
